refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Pici 1,2026-03-04,Jantar,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-04,Jantar,VEG,Lasanha de Batatas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Benfica,2026-03-05,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-05,Café,ESPECIAL VEG,Similar a Iogurte Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Pici 2,2026-03-05,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-05,Café,ESPECIAL VEG,Similar a Iogurte Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 1,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 2,2026-03-05,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Labomar,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,,,,,,0.0,Av. Sensorial,L,2026-03
Labomar,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,,,,,,0.0,Av. Sensorial,L,2026-03
Labomar,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,,,,,,0.0,Av. Sensorial,L,2026-03
Benfica,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-03
Benfica,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,3.0,3.0,3.0,4.0,4.0,6.4,Av. Sensorial,B,2026-03
